,Tweet ID,User,Tweet,Compound Score,Positive Score,Neutral Score,Negative Score,Tweets Ago,Date
38,1006506489425645568,BBC, Meet the 10,0.5719,0.27,0.73,0.0,39,Tue Jun 12 12:00:21 +0000 2018
39,1006492482216038405,BBC,"RT @bbcrb: Who doesn't love Gromit?
Even his biggest fans won't have seen him like THIS before! ",-0.2869,0.108,0.734,0.158,40,Tue Jun 12 11:04:42 +0000 2018
40,1006492066095030272,BBC," Use a wooden chopping board 
",-0.296,0.0,0.891,0.109,41,Tue Jun 12 11:03:02 +0000 2018
41,1006481662576906241,BBC,Captain Mainwaring and his comrades are to feature on a new set of stamps to mark the 50th anniversary of the class,0.0,0.0,1.0,0.0,42,Tue Jun 12 10:21:42 +0000 2018
42,1006478794465665024,BBC,RT @BBCR1: ,0.3802,0.101,0.899,0.0,43,Tue Jun 12 10:10:18 +0000 2018
43,1006469890549665792,BBC,RT @bbcthree: Robert Lee quit his well paid Wall Street job to feed the homeless https://t.co/OHl500fXn1,0.2732,0.123,0.877,0.0,44,Tue Jun 12 09:34:55 +0000 2018
44,1006452473052192768,BBC,"RT @bbcgetinspired: History will be made at the #WorldCup 

Here's @LivCookefs to get you in the mood. Could you do these super skills? #Ge",0.5994,0.145,0.855,0.0,45,Tue Jun 12 08:25:43 +0000 2018
45,1006446077153857536,BBC," Ever heard a beatboxing starling? 
#Springwatch https://t.co/N758EN4j3s",0.0,0.0,1.0,0.0,46,Tue Jun 12 08:00:18 +0000 2018
46,1006437975121694720,BBC, A Chinese city has introduced a special pedestrian lane on one of its roads,0.4019,0.137,0.863,0.0,47,Tue Jun 12 07:28:06 +0000 2018
47,1006430945115869184,BBC,This new service uses a smartphone and camera glasses to help blind or partially sighted people. https://t.co/5Ca4REP9xU,0.0,0.139,0.722,0.139,48,Tue Jun 12 07:00:10 +0000 2018
48,1006234694114009088,BBC,'Everything that happened,0.0258,0.078,0.922,0.0,49,Mon Jun 11 18:00:20 +0000 2018
49,1006227335882911744,BBC,Follow top female wrestler Kimberly Benson,0.0498,0.152,0.742,0.105,50,Mon Jun 11 17:31:06 +0000 2018
50,1006204457447837706,BBC," @SandiToksvig can't get a moment of peace. 
#QI https://t.co/D9YlBYFxpp",0.5423,0.304,0.696,0.0,51,Mon Jun 11 16:00:11 +0000 2018
51,1006194061332635648,BBC,RT @BBCr4today: The building blocks of life have been found on Mars and @SanjeevGupta45 says it's an exciting prospect ,0.5423,0.213,0.711,0.075,52,Mon Jun 11 15:18:53 +0000 2018
52,1006192275150471169,BBC,RT @bbc5live: ,0.8908,0.398,0.602,0.0,53,Mon Jun 11 15:11:47 +0000 2018
53,1006190201432100865,BBC,"'My mum had tears coming out of her eyes'. 

",-0.2263,0.0,0.921,0.079,54,Mon Jun 11 15:03:32 +0000 2018
54,1006180563932401664,BBC,The UK could see an end to homelessness within 10 years if the government embraces certain policies,0.2732,0.095,0.905,0.0,55,Mon Jun 11 14:25:15 +0000 2018
55,1006159881685127168,BBC,Think bacteria are bad? Think again. ,-0.2023,0.116,0.733,0.151,56,Mon Jun 11 13:03:03 +0000 2018
56,1006144282296766464,BBC, What's it like to be the most powerful woman in international sport? https://t.co/MqcaxKtJeH,0.6801,0.337,0.663,0.0,57,Mon Jun 11 12:01:04 +0000 2018
57,1006129720658886656,BBC,RT @BBCNews: 'I'm glad I was the first guardsman to wear a turban' https://t.co/fL4yzmOAPU,0.4588,0.214,0.786,0.0,58,Mon Jun 11 11:03:13 +0000 2018
58,1006129688308322304,BBC,Is visual learning a myth?  ,0.34,0.112,0.888,0.0,59,Mon Jun 11 11:03:05 +0000 2018
59,1006116846981042176,BBC,"We're celebrating female voices and achievements across the BBC to mark 100 years since women got the vote.

Here's",0.5719,0.163,0.837,0.0,60,Mon Jun 11 10:12:03 +0000 2018
60,1006083886676414464,BBC, Two hundred dachshunds in one place... yes please! https://t.co/2ugZtgmBZ7,0.6476,0.398,0.602,0.0,61,Mon Jun 11 08:01:05 +0000 2018
61,1006075837295349760,BBC,From fallopian tubes to the G,0.0258,0.052,0.948,0.0,62,Mon Jun 11 07:29:06 +0000 2018
62,1006069299704991745,BBC,"
Need to relax? 

Sit back",0.4404,0.146,0.854,0.0,63,Mon Jun 11 07:03:07 +0000 2018
63,1005888361310146560,BBC,As the Poldarks look to rebuild their marriage,-0.5719,0.0,0.761,0.239,64,Sun Jun 10 19:04:08 +0000 2018
